trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
333803388,11,1/1/2020 0:13,1/1/2020 0:24,3049,39.945091,-75.142502,3072,39.934448,-75.145409,19794,30,One Way,Indego30,electric
333803387,28,1/1/2020 0:14,1/1/2020 0:42,3124,39.953621,-75.139542,3053,39.932308,-75.181541,19818,30,One Way,Indego30,electric
333803386,28,1/1/2020 0:14,1/1/2020 0:42,3124,39.953621,-75.139542,3053,39.932308,-75.181541,16510,30,One Way,Indego30,electric
333803385,21,1/1/2020 0:17,1/1/2020 0:38,3005,39.94733,-75.144028,3018,39.952728,-75.15979,16690,30,One Way,Indego30,electric
333803384,21,1/1/2020 0:17,1/1/2020 0:38,3005,39.94733,-75.144028,3018,39.952728,-75.15979,3423,30,One Way,Indego30,standard
333803383,25,1/1/2020 0:18,1/1/2020 0:43,3124,39.953621,-75.139542,3052,39.947319,-75.156952,3716,365,One Way,Indego365,standard
333803382,11,1/1/2020 0:18,1/1/2020 0:29,3208,39.950481,-75.193237,3062,39.951969,-75.179428,14617,30,One Way,Indego30,standard
333803381,17,1/1/2020 0:19,1/1/2020 0:36,3005,39.94733,-75.144028,3018,39.952728,-75.15979,14615,1,One Way,Day Pass,standard
333803380,17,1/1/2020 0:19,1/1/2020 0:36,3005,39.94733,-75.144028,3018,39.952728,-75.15979,11719,1,One Way,Day Pass,standard
333803379,16,1/1/2020 0:20,1/1/2020 0:36,3005,39.94733,-75.144028,3018,39.952728,-75.15979,11868,1,One Way,Day Pass,standard
333803378,5,1/1/2020 0:23,1/1/2020 0:28,3047,39.95071,-75.149208,3185,39.951691,-75.158882,17218,30,One Way,Indego30,electric
333803377,19,1/1/2020 0:40,1/1/2020 0:59,3202,39.95134,-75.16758,3202,39.95134,-75.16758,14698,30,Round Trip,Indego30,standard
333803376,7,1/1/2020 0:41,1/1/2020 0:48,3166,39.972351,-75.134453,3169,39.953819,-75.142632,17200,30,One Way,Indego30,electric
333803501,30,1/1/2020 0:43,1/1/2020 1:13,3049,39.945091,-75.142502,3201,39.955231,-75.166199,14598,1,One Way,Day Pass,standard
333803500,29,1/1/2020 0:44,1/1/2020 1:13,3049,39.945091,-75.142502,3201,39.955231,-75.166199,5127,1,One Way,Day Pass,standard
333803375,8,1/1/2020 0:44,1/1/2020 0:52,3150,39.928841,-75.170212,3100,39.927769,-75.151031,5356,30,One Way,Indego30,standard
333803374,7,1/1/2020 0:51,1/1/2020 0:58,3043,39.93082,-75.174744,3157,39.925449,-75.159538,2502,365,One Way,Indego365,standard
333803497,12,1/1/2020 0:52,1/1/2020 1:04,3028,39.940609,-75.149582,3012,39.942181,-75.177467,11909,30,One Way,Indego30,standard
333803373,4,1/1/2020 0:54,1/1/2020 0:58,3157,39.925449,-75.159538,3034,39.933151,-75.162483,5284,365,One Way,Indego365,standard
333803495,9,1/1/2020 0:55,1/1/2020 1:04,3073,39.96143,-75.15242,3046,39.950119,-75.144722,19348,365,One Way,Indego365,electric
333803494,9,1/1/2020 0:58,1/1/2020 1:07,3202,39.95134,-75.16758,3052,39.947319,-75.156952,3409,30,One Way,Indego30,standard
333803493,14,1/1/2020 0:59,1/1/2020 1:13,3007,39.945171,-75.159927,3158,39.925522,-75.169037,2699,1,One Way,Day Pass,standard
333803492,5,1/1/2020 1:01,1/1/2020 1:06,3088,39.969841,-75.1418,3097,39.978882,-75.133392,19003,365,One Way,Indego365,electric
333803491,10,1/1/2020 1:01,1/1/2020 1:11,3005,39.94733,-75.144028,3030,39.93935,-75.157158,3541,30,One Way,Indego30,standard
333803490,4,1/1/2020 1:03,1/1/2020 1:07,3066,39.94561,-75.173477,3168,39.95134,-75.173943,3582,30,One Way,Indego30,standard
333803489,15,1/1/2020 1:04,1/1/2020 1:19,3034,39.933151,-75.162483,3032,39.945271,-75.17971,5122,365,One Way,Indego365,standard
333803488,15,1/1/2020 1:09,1/1/2020 1:24,3013,39.963169,-75.147919,3066,39.94561,-75.173477,11945,365,One Way,Indego365,standard
333803487,5,1/1/2020 1:11,1/1/2020 1:16,3012,39.942181,-75.177467,3068,39.93549,-75.167107,11909,365,One Way,Indego365,standard
333803486,20,1/1/2020 1:11,1/1/2020 1:31,3116,39.96006,-75.171982,3012,39.942181,-75.177467,5273,30,One Way,Indego30,standard
333803485,20,1/1/2020 1:11,1/1/2020 1:31,3116,39.96006,-75.171982,3012,39.942181,-75.177467,6695,30,One Way,Indego30,standard
333803484,8,1/1/2020 1:12,1/1/2020 1:20,3047,39.95071,-75.149208,3021,39.953899,-75.169022,11965,30,One Way,Indego30,standard
333806172,15,1/1/2020 1:15,1/1/2020 1:30,3025,39.937241,-75.161201,3000,,,3494,365,One Way,Indego365,standard
333803483,30,1/1/2020 1:16,1/1/2020 1:46,3049,39.945091,-75.142502,3054,39.962502,-75.174202,3641,1,One Way,Day Pass,standard
333803482,5,1/1/2020 1:26,1/1/2020 1:31,3160,39.956619,-75.198624,3022,39.95472,-75.183228,5251,365,One Way,Indego365,standard
333803481,14,1/1/2020 1:26,1/1/2020 1:40,3047,39.95071,-75.149208,3125,39.943909,-75.167351,5380,30,One Way,Indego30,standard
333803480,10,1/1/2020 1:26,1/1/2020 1:36,3025,39.937241,-75.161201,3197,39.92083,-75.170326,3695,30,One Way,Indego30,standard
333803479,13,1/1/2020 1:30,1/1/2020 1:43,3125,39.943909,-75.167351,3046,39.950119,-75.144722,11905,365,One Way,Indego365,standard
333803591,36,1/1/2020 1:33,1/1/2020 2:09,3004,39.953781,-75.163742,3166,39.972351,-75.134453,14538,1,One Way,Day Pass,standard
333803590,34,1/1/2020 1:44,1/1/2020 2:18,3033,39.95005,-75.156723,3197,39.92083,-75.170326,14511,1,One Way,Day Pass,standard
333803478,7,1/1/2020 1:45,1/1/2020 1:52,3165,39.958191,-75.1782,3102,39.96759,-75.17952,5378,30,One Way,Indego30,standard
333803477,3,1/1/2020 1:45,1/1/2020 1:48,3039,39.97121,-75.159698,3075,39.967178,-75.161247,16544,30,One Way,Indego30,electric
333803476,10,1/1/2020 1:46,1/1/2020 1:56,3102,39.96759,-75.17952,3107,39.982029,-75.18866,18441,30,One Way,Indego30,electric
333803475,1,1/1/2020 1:47,1/1/2020 1:48,3039,39.97121,-75.159698,3039,39.97121,-75.159698,5388,1,Round Trip,Day Pass,standard
333803585,31,1/1/2020 1:48,1/1/2020 2:19,3033,39.95005,-75.156723,3197,39.92083,-75.170326,5383,1,One Way,Day Pass,standard
333803474,8,1/1/2020 1:48,1/1/2020 1:56,3075,39.967178,-75.161247,3078,39.953548,-75.171921,18359,30,One Way,Indego30,electric
333803473,2,1/1/2020 1:49,1/1/2020 1:51,3033,39.95005,-75.156723,3033,39.95005,-75.156723,14561,1,Round Trip,Day Pass,standard
333803582,16,1/1/2020 1:55,1/1/2020 2:11,3052,39.947319,-75.156952,3039,39.97121,-75.159698,5258,30,One Way,Indego30,standard
333803581,11,1/1/2020 2:01,1/1/2020 2:12,3069,39.937038,-75.150383,3098,39.934311,-75.160423,14645,30,One Way,Indego30,standard
333803580,7,1/1/2020 2:05,1/1/2020 2:12,3069,39.937038,-75.150383,3098,39.934311,-75.160423,11841,1,One Way,Day Pass,standard
333803579,4,1/1/2020 2:11,1/1/2020 2:15,3204,39.964371,-75.165817,3205,39.954048,-75.167831,5168,30,One Way,Indego30,standard
333803578,18,1/1/2020 2:11,1/1/2020 2:29,3206,39.95174,-75.170631,3158,39.925522,-75.169037,14665,1,One Way,Day Pass,standard
333803577,14,1/1/2020 2:15,1/1/2020 2:29,3201,39.955231,-75.166199,3046,39.950119,-75.144722,14587,1,One Way,Day Pass,standard
333803576,13,1/1/2020 2:16,1/1/2020 2:29,3201,39.955231,-75.166199,3046,39.950119,-75.144722,2608,1,One Way,Day Pass,standard
333803575,18,1/1/2020 2:29,1/1/2020 2:47,3026,39.94138,-75.145638,3034,39.933151,-75.162483,19282,365,One Way,Indego365,electric
333803574,10,1/1/2020 2:30,1/1/2020 2:40,3033,39.95005,-75.156723,3169,39.953819,-75.142632,14561,365,One Way,Indego365,standard
333803573,6,1/1/2020 2:38,1/1/2020 2:44,3108,39.953159,-75.165512,3204,39.964371,-75.165817,11908,30,One Way,Indego30,standard
333803677,24,1/1/2020 2:42,1/1/2020 3:06,3157,39.925449,-75.159538,3028,39.940609,-75.149582,2630,30,One Way,Indego30,standard
333803676,6,1/1/2020 3:01,1/1/2020 3:07,3015,39.94735,-75.148857,3099,39.93401,-75.15094,3654,365,One Way,Indego365,standard
333803675,5,1/1/2020 3:15,1/1/2020 3:20,3005,39.94733,-75.144028,3028,39.940609,-75.149582,3701,30,One Way,Indego30,standard
333803674,15,1/1/2020 3:17,1/1/2020 3:32,3209,39.949001,-75.212784,3067,39.964111,-75.19973,11712,30,One Way,Indego30,standard
333803673,1,1/1/2020 3:52,1/1/2020 3:53,3075,39.967178,-75.161247,3075,39.967178,-75.161247,16544,30,Round Trip,Indego30,electric
333803775,24,1/1/2020 3:53,1/1/2020 4:17,3106,39.991791,-75.186371,3077,39.972069,-75.163513,11722,30,One Way,Indego30,standard
333803774,18,1/1/2020 4:24,1/1/2020 4:42,3065,39.970699,-75.151711,3039,39.97121,-75.159698,3703,30,One Way,Indego30,standard
333803773,12,1/1/2020 4:25,1/1/2020 4:37,3054,39.962502,-75.174202,3192,39.96207,-75.141113,3641,30,One Way,Indego30,standard
333803875,12,1/1/2020 5:24,1/1/2020 5:36,3045,39.947922,-75.162369,3034,39.933151,-75.162483,14591,30,One Way,Indego30,standard
333803874,3,1/1/2020 5:39,1/1/2020 5:42,3045,39.947922,-75.162369,3010,39.947109,-75.166183,11765,365,One Way,Indego365,standard
333803873,7,1/1/2020 5:42,1/1/2020 5:49,3010,39.947109,-75.166183,3114,39.937752,-75.180122,17226,365,One Way,Indego365,electric
333803979,25,1/1/2020 5:49,1/1/2020 6:14,3158,39.925522,-75.169037,3170,39.94426,-75.181343,14512,365,One Way,Indego365,standard
333803978,5,1/1/2020 6:06,1/1/2020 6:11,3208,39.950481,-75.193237,3170,39.94426,-75.181343,5233,365,One Way,Indego365,standard
333803977,16,1/1/2020 6:14,1/1/2020 6:30,3170,39.94426,-75.181343,3071,39.961731,-75.187881,14512,365,One Way,Indego365,standard
333803976,8,1/1/2020 6:15,1/1/2020 6:23,3012,39.942181,-75.177467,3038,39.947811,-75.194092,14663,365,One Way,Indego365,standard
333803975,7,1/1/2020 6:29,1/1/2020 6:36,3066,39.94561,-75.173477,3038,39.947811,-75.194092,11945,30,One Way,Indego30,standard
333803974,5,1/1/2020 6:33,1/1/2020 6:38,3020,39.949219,-75.190361,3032,39.945271,-75.17971,11869,30,One Way,Indego30,standard
333804433,219,1/1/2020 6:33,1/1/2020 10:12,3210,39.984921,-75.156677,3056,39.976688,-75.158127,16860,365,One Way,Indego365,electric
333803973,7,1/1/2020 6:39,1/1/2020 6:46,3170,39.94426,-75.181343,3208,39.950481,-75.193237,5361,365,One Way,Indego365,standard
333804201,5,1/1/2020 6:45,1/1/2020 6:50,3028,39.940609,-75.149582,3000,,,17805,30,One Way,Indego30,electric
