trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
365191028,10,1/1/2021 5:41,1/1/2021 5:51,3156,39.953812,-75.174072,3160,39.956619,-75.198624,5239,30,One Way,Indego30,standard
365191027,7,1/1/2021 5:47,1/1/2021 5:54,3104,39.96664,-75.192093,3038,39.947811,-75.194092,19835,365,One Way,Indego365,electric
365191127,6,1/1/2021 5:49,1/1/2021 5:55,3155,39.940182,-75.154419,3125,39.943909,-75.167351,19642,30,One Way,Indego30,electric
365191527,8,1/1/2021 6:04,1/1/2021 6:12,3204,39.964371,-75.165817,3167,39.950249,-75.160278,3523,30,One Way,Indego30,standard
365191927,23,1/1/2021 6:09,1/1/2021 6:32,3067,39.964111,-75.19973,3067,39.964111,-75.19973,16665,30,Round Trip,Indego30,electric
365192028,6,1/1/2021 6:31,1/1/2021 6:37,3201,39.955231,-75.166199,3052,39.947319,-75.156952,19027,30,One Way,Indego30,electric
365192128,5,1/1/2021 6:36,1/1/2021 6:41,3059,39.96244,-75.161209,3033,39.95005,-75.156723,16508,30,One Way,Indego30,electric
365192027,1,1/1/2021 6:38,1/1/2021 6:39,3156,39.953812,-75.174072,3156,39.953812,-75.174072,16566,30,Round Trip,Indego30,electric
365192227,7,1/1/2021 6:39,1/1/2021 6:46,3156,39.953812,-75.174072,3160,39.956619,-75.198624,16566,30,One Way,Indego30,electric
365192728,13,1/1/2021 6:53,1/1/2021 7:06,3010,39.947109,-75.166183,3038,39.947811,-75.194092,5294,30,One Way,Indego30,standard
365192627,3,1/1/2021 6:57,1/1/2021 7:00,3030,39.93935,-75.157158,3052,39.947319,-75.156952,19904,30,One Way,Indego30,electric
365192827,7,1/1/2021 7:04,1/1/2021 7:11,3007,39.945171,-75.159927,3098,39.934311,-75.160423,19327,30,One Way,Indego30,electric
365193129,16,1/1/2021 7:10,1/1/2021 7:26,3112,39.953732,-75.218246,3054,39.962502,-75.174202,19118,30,One Way,Indego30,electric
365193028,11,1/1/2021 7:11,1/1/2021 7:22,3063,39.946331,-75.1698,3052,39.947319,-75.156952,18759,30,One Way,Indego30,electric
365194339,15,1/1/2021 7:12,1/1/2021 7:27,3098,39.934311,-75.160423,3000,,,14539,30,One Way,Indego30,standard
365193027,6,1/1/2021 7:16,1/1/2021 7:22,3020,39.948551,-75.190071,3170,39.94426,-75.181343,2594,30,One Way,Indego30,standard
365193230,9,1/1/2021 7:24,1/1/2021 7:33,3012,39.942181,-75.177467,3007,39.945171,-75.159927,5290,365,One Way,Indego365,standard
365193229,2,1/1/2021 7:31,1/1/2021 7:33,3020,39.948551,-75.190071,3162,39.94595,-75.184753,11174,30,One Way,Indego30,standard
365193330,8,1/1/2021 7:31,1/1/2021 7:39,3167,39.950249,-75.160278,3046,39.950119,-75.144722,3645,30,One Way,Indego30,standard
365193327,1,1/1/2021 7:34,1/1/2021 7:35,3020,39.948551,-75.190071,3020,39.948551,-75.190071,5333,30,Round Trip,Indego30,standard
365193627,6,1/1/2021 7:44,1/1/2021 7:50,3162,39.94595,-75.184753,3203,39.940769,-75.172272,11721,30,One Way,Indego30,standard
365194028,21,1/1/2021 7:46,1/1/2021 8:07,3125,39.943909,-75.167351,3125,39.943909,-75.167351,19642,30,Round Trip,Indego30,electric
365194128,12,1/1/2021 7:58,1/1/2021 8:10,3020,39.948551,-75.190071,3010,39.947109,-75.166183,14643,30,One Way,Indego30,standard
365194027,6,1/1/2021 8:02,1/1/2021 8:08,3020,39.948551,-75.190071,3032,39.945271,-75.17971,2598,30,One Way,Indego30,standard
365194227,8,1/1/2021 8:09,1/1/2021 8:17,3052,39.947319,-75.156952,3032,39.945271,-75.17971,19904,30,One Way,Indego30,electric
365207559,5,1/1/2021 8:15,1/1/2021 8:20,3166,39.972351,-75.134453,3000,,,17490,30,One Way,Indego30,electric
365194429,11,1/1/2021 8:15,1/1/2021 8:26,3043,39.93082,-75.174744,3202,39.95134,-75.16758,11761,30,One Way,Indego30,standard
365194428,11,1/1/2021 8:15,1/1/2021 8:26,3069,39.937038,-75.150383,3163,39.949741,-75.180969,3640,365,One Way,Indego365,standard
365194427,13,1/1/2021 8:15,1/1/2021 8:28,3054,39.962502,-75.174202,3086,39.940189,-75.166908,14674,30,One Way,Indego30,standard
365194629,7,1/1/2021 8:29,1/1/2021 8:36,3068,39.93549,-75.167107,3125,39.943909,-75.167351,14628,365,One Way,Indego365,standard
365194628,5,1/1/2021 8:30,1/1/2021 8:35,3032,39.945271,-75.17971,3061,39.95425,-75.177612,19904,30,One Way,Indego30,electric
365194627,3,1/1/2021 8:32,1/1/2021 8:35,3050,39.953388,-75.154259,3154,39.95924,-75.158211,18410,30,One Way,Indego30,electric
365194827,11,1/1/2021 8:36,1/1/2021 8:47,3125,39.943909,-75.167351,3054,39.962502,-75.174202,19642,365,One Way,Indego365,electric
365195631,16,1/1/2021 9:08,1/1/2021 9:24,3158,39.925522,-75.169037,3007,39.945171,-75.159927,11707,30,One Way,Indego30,standard
365195833,25,1/1/2021 9:09,1/1/2021 9:34,3010,39.947109,-75.166183,3018,39.952728,-75.15979,14690,30,One Way,Indego30,standard
365195630,3,1/1/2021 9:18,1/1/2021 9:21,3098,39.934311,-75.160423,3000,,,5298,30,One Way,Indego30,standard
365195828,8,1/1/2021 9:23,1/1/2021 9:31,3115,39.97263,-75.167572,3065,39.970699,-75.151711,11782,30,One Way,Indego30,standard
365195827,6,1/1/2021 9:26,1/1/2021 9:32,3121,39.97414,-75.180222,3054,39.962502,-75.174202,19771,30,One Way,Indego30,electric
365196131,23,1/1/2021 9:26,1/1/2021 9:49,3034,39.933151,-75.162483,3163,39.949741,-75.180969,5317,30,One Way,Indego30,standard
365196233,23,1/1/2021 9:27,1/1/2021 9:50,3034,39.933151,-75.162483,3163,39.949741,-75.180969,5329,30,One Way,Indego30,standard
365195928,9,1/1/2021 9:29,1/1/2021 9:38,3114,39.937752,-75.180122,3061,39.95425,-75.177612,16801,30,One Way,Indego30,electric
365195927,3,1/1/2021 9:34,1/1/2021 9:37,3052,39.947319,-75.156952,3030,39.93935,-75.157158,19027,30,One Way,Indego30,electric
365196128,6,1/1/2021 9:42,1/1/2021 9:48,3067,39.964111,-75.19973,3067,39.964111,-75.19973,16665,30,Round Trip,Indego30,electric
365196535,17,1/1/2021 9:43,1/1/2021 10:00,3212,39.963791,-75.18158,3069,39.937038,-75.150383,3536,365,One Way,Indego365,standard
365196127,5,1/1/2021 9:44,1/1/2021 9:49,3068,39.93549,-75.167107,3025,39.937241,-75.161201,14496,30,One Way,Indego30,standard
365196228,8,1/1/2021 9:45,1/1/2021 9:53,3034,39.933151,-75.162483,3010,39.947109,-75.166183,11772,365,One Way,Indego365,standard
365196335,11,1/1/2021 9:46,1/1/2021 9:57,3004,39.953781,-75.163742,3190,39.948921,-75.169907,11737,30,One Way,Indego30,standard
365196333,6,1/1/2021 9:49,1/1/2021 9:55,3067,39.964111,-75.19973,3067,39.964111,-75.19973,18157,30,Round Trip,Indego30,electric
365196331,7,1/1/2021 9:49,1/1/2021 9:56,3066,39.94561,-75.173477,3101,39.942951,-75.159554,14688,30,One Way,Indego30,standard
365197956,76,1/1/2021 9:50,1/1/2021 11:06,3163,39.949741,-75.180969,3212,39.963791,-75.18158,5329,30,One Way,Indego30,standard
365197955,75,1/1/2021 9:51,1/1/2021 11:06,3163,39.949741,-75.180969,3212,39.963791,-75.18158,14606,30,One Way,Indego30,standard
365196528,10,1/1/2021 9:53,1/1/2021 10:03,3043,39.93082,-75.174744,3064,39.9384,-75.173271,3469,30,One Way,Indego30,standard
365196327,4,1/1/2021 9:54,1/1/2021 9:58,3054,39.962502,-75.174202,3051,39.967442,-75.175072,19642,30,One Way,Indego30,electric
365196730,8,1/1/2021 10:06,1/1/2021 10:14,3052,39.947319,-75.156952,3086,39.940189,-75.166908,6698,365,One Way,Indego365,standard
365197645,48,1/1/2021 10:08,1/1/2021 10:56,3190,39.948921,-75.169907,3182,39.950809,-75.169533,11737,30,One Way,Indego30,standard
365196831,8,1/1/2021 10:08,1/1/2021 10:16,3045,39.947922,-75.162369,3028,39.940609,-75.149582,11943,30,One Way,Indego30,standard
365196830,6,1/1/2021 10:09,1/1/2021 10:15,3052,39.947319,-75.156952,3063,39.946331,-75.1698,18759,30,One Way,Indego30,electric
365196729,4,1/1/2021 10:10,1/1/2021 10:14,3065,39.970699,-75.151711,3039,39.97121,-75.159698,11782,30,One Way,Indego30,standard
365197028,11,1/1/2021 10:15,1/1/2021 10:26,3163,39.949741,-75.180969,3209,39.949001,-75.212784,17674,30,One Way,Indego30,electric
